name,link
"Allan Armitage, Ph. D., P. Geo.",https://www.linkedin.com/in/allan-armitage-0179114b/?originalSubdomain=ca
"Antoine Yassa, P. Geo.",https://www.linkedin.com/in/antoine-r-yassa-8127b243/?originalSubdomain=ca
"Bruce Davis, FAusIMM",https://www.linkedin.com/in/bruce-davis-359b926b/
"David Burga, P. Geo.",https://www.linkedin.com/in/david-burga-41829421/?originalSubdomain=ca
"Fred Brown, P.Geo.",https://www.linkedin.com/in/fhbgeo/
"Ken Embree, P.Eng.",https://www.linkedin.com/in/ken-embree-21643041/?originalSubdomain=ca
"Mark Willow, MSc, CEM, SME-RM",https://www.linkedin.com/in/mark-willow-355179101/
"Robert Sim, P.Geo.",https://www.linkedin.com/in/robert-sim-0085656a/?originalSubdomain=ca
"Todd McCracken, P. Geo.",https://www.linkedin.com/in/todd-mccracken-921b6927/?originalSubdomain=ca
"Yungang Wu, P.Geo.",https://www.linkedin.com/in/yungang-wu-3a96a030/?originalSubdomain=ca
